City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Melfi,IT,2022-06-28 22:29:53,40.9965,15.6514,71.49,39,32,4.18
152,Nome,US,2022-06-28 22:29:53,64.5011,-165.4064,57.16,82,20,6.91
153,Bell Ville,AR,2022-06-28 22:29:54,-32.6259,-62.6887,51.67,63,0,7.52
154,Dehloran,IR,2022-06-28 22:29:54,32.6941,47.2679,92.17,12,0,7.58
155,Aykhal,RU,2022-06-28 22:29:55,66.0,111.5,50.27,50,100,16.26
156,Broome,US,2022-06-28 22:29:55,42.2506,-75.833,75.79,52,75,3.44
157,Erzurum,TR,2022-06-28 22:29:56,40.0,41.5,47.88,53,3,2.64
158,Victoria,HK,2022-06-28 22:25:17,22.2855,114.1577,85.32,86,98,1.99
159,Taltal,CL,2022-06-28 22:29:57,-25.4,-70.4833,63.09,63,0,4.99
160,Airai,TL,2022-06-28 22:29:57,-8.9266,125.4092,58.66,96,82,4.38
161,Dunedin,NZ,2022-06-28 22:25:04,-45.8742,170.5036,45.81,51,100,1.01
162,Mount Isa,AU,2022-06-28 22:29:58,-20.7333,139.5,58.77,36,100,6.91
163,Cabo San Lucas,MX,2022-06-28 22:26:16,22.8909,-109.9124,95.61,48,0,10.36
164,Edgewater,US,2022-06-28 22:29:58,28.9889,-80.9023,88.29,65,84,13.02
165,Kodiak,US,2022-06-28 22:29:59,57.79,-152.4072,65.71,59,0,5.75
166,Tucuman,AR,2022-06-28 22:29:59,-26.8241,-65.2226,53.6,66,0,3.44
167,Okhotsk,RU,2022-06-28 22:30:00,59.3833,143.3,52.2,85,89,7.74
168,Ballina,AU,2022-06-28 22:30:00,-28.8667,153.5667,53.78,99,98,6.04
169,Abha,SA,2022-06-28 22:30:01,18.2164,42.5053,68.25,46,0,0.0
170,Katsuura,JP,2022-06-28 22:30:04,35.1333,140.3,78.82,83,69,17.96
171,Codrington,AU,2022-06-28 22:30:06,-38.2667,141.9667,44.8,65,44,16.53
172,Sitka,US,2022-06-28 22:29:33,57.0531,-135.33,66.09,63,20,13.8
173,Adrar,MR,2022-06-28 22:30:09,20.5022,-10.0711,92.21,15,4,14.7
174,Kanepi,EE,2022-06-28 22:30:11,57.982,26.7627,70.72,91,73,2.73
175,Smithers,CA,2022-06-28 22:30:12,54.7804,-127.1743,61.12,88,100,2.3
176,Ambulu,ID,2022-06-28 22:30:13,-8.345,113.6058,70.38,83,86,3.33
177,Talara,PE,2022-06-28 22:30:14,-4.5772,-81.2719,70.56,68,0,12.66
178,Lagoa,PT,2022-06-28 22:30:16,39.05,-27.9833,66.06,94,100,9.82
179,San Fernando,PH,2022-06-28 22:25:42,15.0286,120.6898,78.53,94,100,4.07
180,Bonavista,CA,2022-06-28 22:30:17,48.6499,-53.1147,60.6,87,79,16.02
181,Najran,SA,2022-06-28 22:30:17,17.4924,44.1277,86.65,23,100,3.18
182,Nanortalik,GL,2022-06-28 22:30:18,60.1432,-45.2371,45.54,72,100,18.81
183,Moose Factory,CA,2022-06-28 22:30:18,51.2585,-80.6094,62.6,51,20,16.11
184,Vardo,NO,2022-06-28 22:30:21,70.3705,31.1107,69.78,64,37,17.27
185,Broken Hill,AU,2022-06-28 22:30:21,-31.95,141.4333,49.59,45,100,5.7
186,Linfen,CN,2022-06-28 22:30:22,36.0889,111.5189,80.31,41,1,2.21
187,Valparaiso,CL,2022-06-28 22:30:23,-33.0393,-71.6273,62.24,70,0,8.05
188,Hilo,US,2022-06-28 22:30:23,19.7297,-155.09,84.27,72,75,11.5
189,Gusau,NG,2022-06-28 22:30:24,12.1628,6.6614,73.02,68,83,20.47
190,Grand Island,US,2022-06-28 22:28:03,40.925,-98.342,93.15,33,0,17.27
191,Fairbanks,US,2022-06-28 22:30:03,64.8378,-147.7164,74.61,40,100,9.22
192,Weinan,CN,2022-06-28 22:30:25,34.5036,109.5089,78.46,51,0,4.09
193,Ambilobe,MG,2022-06-28 22:30:25,-13.2,49.05,64.96,63,56,5.66
194,Poum,NC,2022-06-28 22:30:26,-20.2333,164.0167,74.89,78,17,21.14
195,Ilulissat,GL,2022-06-28 22:30:26,69.2167,-51.1,59.02,36,9,6.91
196,Causapscal,CA,2022-06-28 22:30:27,48.3542,-67.227,64.11,63,2,3.04
197,Honningsvag,NO,2022-06-28 22:30:27,70.9821,25.9704,65.95,68,0,0.0
198,Poykovskiy,RU,2022-06-28 22:30:28,61.2333,73.3333,50.29,93,75,11.18
199,Port Lincoln,AU,2022-06-28 22:30:29,-34.7333,135.8667,54.93,75,68,9.66
200,Lensk,RU,2022-06-28 22:30:29,60.7253,114.9278,62.71,98,100,2.37
201,Severnyy,RU,2022-06-28 22:30:30,50.677,36.5532,68.04,77,0,4.47
202,Zhirnovsk,RU,2022-06-28 22:30:30,50.9845,44.7735,53.91,73,0,7.23
203,Zheleznodorozhnyy,RU,2022-06-28 22:30:31,55.7503,38.0042,61.32,64,0,5.3
204,Hambantota,LK,2022-06-28 22:30:31,6.1241,81.1185,79.2,80,3,18.16
205,Saint-Georges,GD,2022-06-28 22:30:32,12.0564,-61.7485,76.68,94,100,27.63
206,Obidos,BR,2022-06-28 22:30:32,-1.9175,-55.5181,77.54,80,93,3.11
207,San Jose,US,2022-06-28 22:27:19,37.3394,-121.895,94.1,36,0,14.97
208,Dubti,ET,2022-06-28 22:30:33,11.7361,41.0853,91.83,34,66,4.09
209,Bosaso,SO,2022-06-28 22:30:34,11.2842,49.1816,90.59,40,97,26.44
210,Shimoda,JP,2022-06-28 22:30:34,34.6667,138.95,79.03,84,50,16.06
211,Auki,SB,2022-06-28 22:30:35,-8.7676,160.7034,83.35,68,32,5.39
212,East London,ZA,2022-06-28 22:30:35,-33.0153,27.9116,62.37,34,0,5.68
213,Bud,US,2022-06-28 22:30:36,39.447,-86.1758,84.15,31,55,1.25
214,Miraflores,MX,2022-06-28 22:30:36,19.2167,-98.8083,62.02,80,98,1.97
215,Ponta Delgada,PT,2022-06-28 22:30:37,37.7333,-25.6667,65.12,100,75,10.36
216,Samarai,PG,2022-06-28 22:30:37,-10.6167,150.6667,81.34,80,100,13.24
217,Kokopo,PG,2022-06-28 22:30:38,-4.352,152.2633,82.72,69,94,8.68
218,Te Anau,NZ,2022-06-28 22:30:38,-45.4167,167.7167,43.65,92,99,5.5
219,Byron Bay,AU,2022-06-28 22:30:39,-28.65,153.6167,53.94,71,99,5.61
220,Saint Anthony,US,2022-06-28 22:30:39,45.0205,-93.218,84.29,47,0,12.66
221,Shahreza,IR,2022-06-28 22:30:40,32.0339,51.8794,77.56,15,41,4.18
222,Bandundu,CD,2022-06-28 22:30:40,-3.3167,17.3667,76.91,43,95,1.92
223,Grootfontein,NA,2022-06-28 22:30:42,-19.5667,18.1167,44.17,87,42,1.14
224,Redmond,US,2022-06-28 22:30:42,47.674,-122.1215,67.64,67,88,8.01
225,Thompson,CA,2022-06-28 22:26:48,55.7435,-97.8558,62.76,42,75,5.75
226,Nouadhibou,MR,2022-06-28 22:30:43,20.931,-17.0347,71.58,68,4,23.02
227,Talnakh,RU,2022-06-28 22:30:43,69.4865,88.3972,52.21,36,100,3.74
228,Zhangye,CN,2022-06-28 22:30:44,38.9342,100.4517,73.0,26,12,7.94
229,Luderitz,NA,2022-06-28 22:30:44,-26.6481,15.1594,70.23,35,0,23.82
230,San Ramon,US,2022-06-28 22:30:45,37.7799,-121.978,97.59,34,0,11.5
231,Pachperwa,IN,2022-06-28 22:30:45,27.5167,82.65,78.91,93,100,9.37
232,Ballarat,AU,2022-06-28 22:30:46,-37.5662,143.8496,39.13,76,94,9.35
233,Vila Franca Do Campo,PT,2022-06-28 22:30:46,37.7167,-25.4333,64.81,94,91,4.88
234,Talcahuano,CL,2022-06-28 22:30:47,-36.7167,-73.1167,55.08,94,100,23.02
235,Birkeland,NO,2022-06-28 22:30:47,58.3309,8.2323,51.87,76,0,2.3
236,Waddan,LY,2022-06-28 22:30:48,29.1614,16.139,85.12,26,0,11.92
237,Ust-Kuyga,RU,2022-06-28 22:30:48,70.0167,135.6,46.98,50,68,4.54
238,Batticaloa,LK,2022-06-28 22:30:49,7.7102,81.6924,78.91,72,8,7.27
239,Saldanha,ZA,2022-06-28 22:30:49,-33.0117,17.9442,53.65,48,0,12.93
240,San Quintin,MX,2022-06-28 22:30:50,30.4833,-115.95,77.63,53,8,9.28
241,Tilichiki,RU,2022-06-28 22:30:50,60.4667,166.1,56.62,71,46,7.18
242,Flinders,AU,2022-06-28 22:30:50,-34.5833,150.8552,50.05,89,85,1.99
243,Isangel,VU,2022-06-28 22:30:51,-19.55,169.2667,78.91,94,75,3.44
